Incident ID;Title (Company);Description;Date of occurrence;Jurisdiction;LINDDUN categories;Data exposure score;Identification score;Data Sensitivity score;Threat Actor;Techniques Used;Data Protection State;Root Cause (Why);Asset Type;Source;has_personal_data;has_special_categories;has_credentials
hibp-2020-03-22-123RF-123rf.com-123RF;123RF;In March 2020, the stock photo site 123RF suffered a data breach which impacted over 8 million subscribers and was subsequently sold online. The breach included email, IP and physical addresses, names, phone numbers and passwords stored as MD5 hashes. The data was provided to HIBP by dehashed.com.;22.03.20 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Weak;Profit-Oriented;Network;HIBP;1;0;1
hibp-2022-11-15-Abandonia2022-abandonia.com-Abandonia (2022);Abandonia2022;In November 2022, the gaming website dedicated to classic DOS games Abandonia suffered a data breach resulting in the exposure of 920k unique user records. This breach was in addition to another one 7 years earlier in 2015. The data contained email and IP addresses, usernames and salted MD5 hashes of passwords.;15.11.22 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;1
hibp-2022-12-04-Activision-activision.com-Activision;Activision;In December 2022, attackers socially engineered an Activision HR employee into disclosing information which led to the breach of almost 20k employee records. The data contained 16k unique email addresses along with names, phone numbers, job titles and the office location of the employee. Activision advised that no sensitive employee information was included in the breach.;04.12.22 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2021-10-08-ActMobile-actmobile.com-ActMobile;ActMobile;"In October 2021, security researcher Bob Diachenko discovered an exposed database he attributed to ActMobile, the operators of Dash VPN and FreeVPN. The exposed data included 1.6 million unique email addresses along with IP addresses and password hashes, all of which were subsequently leaked on a popular hacking forum. Although usage of the service was verified by HIBP subscribers, ActMobile denied the data was sourced from them and the breach has subsequently been flagged as ""unverified"".";08.10.21 00:00;Non-EU;Linkability, Identifiability;0;1;0;Unknown;Unknown;Weak;Unknown;Software, Services, Systems;HIBP;1;0;0
hibp-2025-03-24-ADDA-adda.io-ADDA;ADDA;In March 2025, data allegedly breached from the ADDA housing societies service was posted to a public hacking forum. The data contained over 1.8M unique email addresses along with names, phone numbers and MD5 password hashes.;24.03.25 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Weak;Unknown;Network;HIBP;1;0;0
hibp-2021-01-03-Adecco-adecco.com-Adecco;Adecco;In March 2021, news broke of a massive data breach impacting millions of Adecco customers in South America which was subsequently sold on a popular hacking forum. The breach exposed over 4M unique email addresses as well as genders, dates of birth, marital statuses, phone numbers and passwords stored as bcrypt hashes.;03.01.21 00:00;Non-EU;Linkability, Identifiability;0;2;0;Extern (Intentional);Unknown;Strong;Profit-Oriented;Network;HIBP;1;0;1
hibp-2021-12-01-ABFRL-abfrl.com-Aditya Birla Fashion and Retail;ABFRL;In December 2021, Indian retailer Aditya Birla Fashion and Retail Ltd was breached and ransomed. The ransom demand was allegedly rejected and data containing 5.4M unique email addresses was subsequently dumped publicly on a popular hacking forum the next month. The data contained extensive personal customer information including names, phone numbers, physical addresses, DoBs, order histories and passwords stored as MD5 hashes. Employee data was also dumped publicly and included salary grades, marital statuses and religions.;01.12.21 00:00;Non-EU;Linkability, Identifiability;0;2;0;Unknown;Unknown;Weak;Profit-Oriented;Network;HIBP;1;0;1
hibp-2022-07-01-AdoptMeTradingValues-adoptmetradingvalues.com-Adopt Me Trading Values;AdoptMeTradingValues;"In July 2022, the Adopt Me Trading Values website for assessing the value of pet trades within the ""Adopt Me!"" Roblox game suffered a data breach that was later redistributed as part of a larger corpus of data. The breach exposed 86k unique email addresses along with usernames (and Roblox usernames), IP addresses and bcrypt password hashes.";01.07.22 00:00;Non-EU;Linkability, Identifiability;0;1;0;Extern (Intentional);Unknown;Strong;Unknown;Network;HIBP;1;0;0
hibp-2020-06-18-Acuity--Acuity;Acuity;"In mid-2020, a 437GB corpus of data attributed to an entity named ""Acuity"" was created and later extensively distributed. However, the source could not be confidently verified as any known companies named Acuity. The data totalled over 14M unique email addresses with each row containing extensive personal information across more than 400 columns of data including names, phone numbers, physical addresses, genders and dates of birth.";18.06.20 00:00;Non-EU;Linkability, Identifiability;1;2;0;Unknown;Unknown;Unknown;Unknown;Network;HIBP;1;0;0
hibp-2018-05-30-AdultFanFiction-adult-fanfiction.org-Adult-FanFiction.Org;AdultFanFiction;In May 2018, the website for sharing adult-orientated works of fiction known as Adult-FanFiction.Org had 186k records exposed in a data breach. The data contained names, email addresses, dates of birth and passwords stored as both MD5 hashes and plain text. AFF did not respond when contacted about the breach and the site was previously reported as compromised on the Vigilante.pw breached database directory.;30.05.18 00:00;Non-EU;Linkability, Identifiability, Non-compliance;0;1;2;Extern (Intentional);Unknown;Weak;Unknown;Software, Services, Systems;HIBP;1;0;1
